"filename","nucleus ID","eccentricity","num of G probes","num of R probes","num of Y probes","X center of mass","Y center of mass","area of nucleus","perimeter of nucleus","radius of nucleus"
"tile_x=4_y=4_c=1.jpg.png",1,0.479261685569171,1,1,1,231.947863626301,88.1799867168475,18068,654,78.7814897375326
"tile_x=4_y=4_c=1.jpg.png",2,0.725107746864611,3,2,3,416.382112269485,84.5981105518048,41917,824,117.747329933207
"tile_x=4_y=4_c=1.jpg.png",3,0.757181470559603,1,1,1,680.339941524638,46.2238465378307,14023,513,70.5289426586818
"tile_x=4_y=4_c=1.jpg.png",4,0.991517072332013,0,0,0,960.380919220056,10.9766713091922,2872,347,43.408695076041
"tile_x=4_y=4_c=1.jpg.png",5,0.975094374256869,0,0,0,1220.92735145538,16.169352898725,4157,346,44.6260535022808
"tile_x=4_y=4_c=1.jpg.png",6,0.789218696434206,1,0,0,1532.12103612499,39.645138808224,8609,456,53.2067314124969
"tile_x=4_y=4_c=1.jpg.png",7,0.906561166607945,0,0,0,1913.75438309028,24.7735539898411,6103,429,50.2244359916676
"tile_x=4_y=4_c=1.jpg.png",8,0.71916108179418,1,1,0,2011.20916741043,80.4022695397169,15686,571,72.3721925230871
"tile_x=4_y=4_c=1.jpg.png",9,0.941671962564143,3,1,0,2233.47819147472,55.8687635873304,36339,998,125.824149049495
"tile_x=4_y=4_c=1.jpg.png",10,1,0,0,0,2004,5.5,2,2,0.5
"tile_x=4_y=4_c=1.jpg.png",11,0.692834004502752,1,1,2,934.629052455823,70.9172116321135,14374,648,70.4633383423818
"tile_x=4_y=4_c=1.jpg.png",12,0.799424851395827,2,1,0,1249.0627805271,87.5547243641386,17378,546,76.2545223274774
"tile_x=4_y=4_c=1.jpg.png",13,0.38328468446837,4,0,2,1065.25978868863,103.780142945929,12872,450,63.18357117116
"tile_x=4_y=4_c=1.jpg.png",14,0.744897428296976,2,3,2,1497.02824004034,139.735249621785,25779,613,91.3765587110764
"tile_x=4_y=4_c=1.jpg.png",15,0.609923020657858,6,3,3,766.523823627411,197.625522935101,54022,894,131.128783905042
"tile_x=4_y=4_c=1.jpg.png",16,0,0,0,0,2299,64,1,1,0
"tile_x=4_y=4_c=1.jpg.png",17,0,0,0,0,2298,65,1,1,0
"tile_x=4_y=4_c=1.jpg.png",18,0,0,0,0,2297,66,1,1,0
"tile_x=4_y=4_c=1.jpg.png",19,0.648690948941336,2,2,0,2308.6116487924,150.213793704769,11469,497,61.7508771732936
"tile_x=4_y=4_c=1.jpg.png",20,0.753570627443141,2,1,1,1959.62576760987,154.124021673691,8305,398,53.9969857148547
"tile_x=4_y=4_c=1.jpg.png",21,0.663865002797317,1,0,1,1861.71747700394,185.642396368415,16742,511,74.42101591497
"tile_x=4_y=4_c=1.jpg.png",22,0.78582211097986,2,3,1,1335.32178885819,223.747767140012,31126,705,101.209230271421
