"filename","nucleus ID","eccentricity","num of G probes","num of R probes","num of Y probes","X center of mass","Y center of mass","area of nucleus","perimeter of nucleus","radius of nucleus"
"tile_x=4_y=1_c=1.jpg.png",1,0.630764247737994,1,1,2,391.054667011414,80.8099951981679,27073,718,97.5828229648852
"tile_x=4_y=1_c=1.jpg.png",2,0.738378771928947,0,0,0,575.720405995515,38.8313466304733,8473,365,54.67108428669
"tile_x=4_y=1_c=1.jpg.png",3,0.433571787169683,1,5,2,1950.03690926751,110.821247948555,29857,617,98.2900586013118
"tile_x=4_y=1_c=1.jpg.png",4,0.762971120330811,0,1,0,2182.4426819146,42.4628792769529,10843,399,60.502561598654
"tile_x=4_y=1_c=1.jpg.png",5,0.524388978032928,0,2,1,2283.63535043758,94.6150048619942,13369,552,65.4674580530227
"tile_x=4_y=1_c=1.jpg.png",6,0,0,0,0,2248,61,1,1,0
"tile_x=4_y=1_c=1.jpg.png",7,0.407386028111894,0,1,0,1311.73700450985,145.6053880845,8426,332,50.9357465881937
"tile_x=4_y=1_c=1.jpg.png",8,0.895782146012891,0,0,0,1651.82599062633,207.742905837239,11735,435,64.7123266701552
"tile_x=4_y=1_c=1.jpg.png",9,0.614954142787754,0,3,2,2265.75528235206,237.690991803895,26598,642,92.8992879065512
"tile_x=4_y=1_c=1.jpg.png",10,0.693731525565558,0,1,0,1406.82571553738,193.788697429907,13696,422,66.4146272379573
"tile_x=4_y=1_c=1.jpg.png",11,0.68741628204581,4,5,5,481.612639338368,312.457820927724,55620,925,136.965666338758
"tile_x=4_y=1_c=1.jpg.png",12,0.91959888670379,0,0,0,2516.85242107762,295.916567766437,16852,559,78.04516992517
"tile_x=4_y=1_c=1.jpg.png",13,0.506144496716739,1,2,1,2115.22662816258,266.899271583121,23201,625,86.7905100609826
"tile_x=4_y=1_c=1.jpg.png",14,0.825439629521866,0,0,0,1201.41712091179,279.574702675917,16144,454,73.6818292479177
"tile_x=4_y=1_c=1.jpg.png",15,1,0,0,0,1698,231.5,2,2,0.5
"tile_x=4_y=1_c=1.jpg.png",16,0.916502985245298,0,0,0,1725.6713747646,268.261770244821,1062,156,20.4158477193694
"tile_x=4_y=1_c=1.jpg.png",17,0.851008907409507,1,1,4,1853.2983315678,366.221795550847,22656,561,89.3699022559279
"tile_x=4_y=1_c=1.jpg.png",18,0.674068981469683,3,2,2,2354.92092432499,384.759372311222,24407,573,88.2196503814253
"tile_x=4_y=1_c=1.jpg.png",19,0.500768912735583,1,0,0,1086.69097075032,329.254768969902,9436,342,54.4847006804414
"tile_x=4_y=1_c=1.jpg.png",20,0.665140461132712,1,0,0,1000.00785182203,355.260519428226,9934,341,56.1119821868172
"tile_x=4_y=1_c=1.jpg.png",21,0.745076153278366,6,3,4,609.466994584129,441.094372203762,38221,703,109.714436192073
"tile_x=4_y=1_c=1.jpg.png",22,0.697227580323315,1,1,1,1347.41685234869,417.49556636806,21991,595,85.348278421008
"tile_x=4_y=1_c=1.jpg.png",23,0.807736785684577,0,2,3,1553.72698124622,441.84609800363,16530,467,75.6203553829814
"tile_x=4_y=1_c=1.jpg.png",24,0.634635434345212,0,4,1,2028.90938599922,464.068830660931,25570,591,90.8399326641783
"tile_x=4_y=1_c=1.jpg.png",25,0.825313997869476,0,0,2,1187.01955821445,466.768676177328,13038,489,66.9745946315689
"tile_x=4_y=1_c=1.jpg.png",26,0,0,0,0,1457,410,1,1,0
"tile_x=4_y=1_c=1.jpg.png",27,0.786034209067562,0,1,0,365.269928710305,497.371678548283,3086,357,34.4972287864897
"tile_x=4_y=1_c=1.jpg.png",28,0,0,0,0,406,478,1,1,0
"tile_x=4_y=1_c=1.jpg.png",29,0.609899972769569,2,0,0,821.444013984692,552.194651800057,10583,328,57.9348054179705
"tile_x=4_y=1_c=1.jpg.png",30,0.461889012765667,0,0,0,317.558837101984,523.3737886479,2167,220,26.8641739630931
"tile_x=4_y=1_c=1.jpg.png",31,0.658774625619482,3,3,2,441.336325261053,586.718195956454,22505,579,85.0836641037719
"tile_x=4_y=1_c=1.jpg.png",32,0.748307319055567,0,1,2,2428.49859943978,628.76792508048,23919,547,88.7722244124262
"tile_x=4_y=1_c=1.jpg.png",33,0.352318932452053,8,6,6,2212.04635842595,691.917907318096,57228,905,133.94052557631
"tile_x=4_y=1_c=1.jpg.png",34,0.577209252435979,3,5,3,297.842178885872,653.972640500288,24306,570,87.7596486577046
"tile_x=4_y=1_c=1.jpg.png",35,0.479582100003014,1,2,0,156.566042798685,616.906889380828,14907,458,68.7713632171485
"tile_x=4_y=1_c=1.jpg.png",36,0.460302384070547,0,0,1,747.594447797224,617.534821967411,8285,311,51.0311419282304
"tile_x=4_y=1_c=1.jpg.png",37,0.850039705504922,0,2,2,1580.83405986632,741.24653685944,20646,537,82.9120539415291
"tile_x=4_y=1_c=1.jpg.png",38,0.473372891051703,1,2,1,1852.15159931048,713.813349932963,10442,363,57.24998808897
"tile_x=4_y=1_c=1.jpg.png",39,0.697712946987671,0,0,0,753.187598528639,709.192503065335,5709,291,42.8971468511743
"tile_x=4_y=1_c=1.jpg.png",40,0.681274441544589,1,2,1,1257.92604426887,767.57305524894,17213,442,74.4688607577805
"tile_x=4_y=1_c=1.jpg.png",41,0.671835187755464,3,1,1,113.828142819546,767.430564084569,11399,364,60.3231399687265
"tile_x=4_y=1_c=1.jpg.png",42,0.64182048795845,3,0,1,210.824108118851,784.093510881447,10063,493,59.3523228563565
"tile_x=4_y=1_c=1.jpg.png",43,0.841725688877575,0,2,1,1123.27501534684,827.753632085124,24435,555,90.436767831022
"tile_x=4_y=1_c=1.jpg.png",44,0.661895638748495,2,1,1,870.229827293318,821.247097961495,14128,385,67.0987868178989
"tile_x=4_y=1_c=1.jpg.png",45,0.745920177682189,0,2,0,1780.34872217642,804.889530090684,4852,269,39.6577481446767
"tile_x=4_y=1_c=1.jpg.png",46,0,0,0,0,1805,763,1,1,0
"tile_x=4_y=1_c=1.jpg.png",47,0.74105753119006,3,5,4,462.266422249726,918.630198724984,42823,762,119.075697466796
"tile_x=4_y=1_c=1.jpg.png",48,0.800421722670248,3,8,7,2196.10890642017,937.543748505857,75294,1126,154.56540383116
"tile_x=4_y=1_c=1.jpg.png",49,0,0,0,0,2148,820,1,1,0
"tile_x=4_y=1_c=1.jpg.png",50,0.475749228072558,0,1,0,1374.6163662676,930.309432969346,15202,445,68.770117012279
"tile_x=4_y=1_c=1.jpg.png",51,0.76191122033129,3,5,2,1740.00357725836,985.355329420345,28793,665,96.0114772227276
"tile_x=4_y=1_c=1.jpg.png",52,0.600902357742643,3,1,3,1883.15312486178,957.231589190146,22609,643,84.182188403033
"tile_x=4_y=1_c=1.jpg.png",53,0.627419324967006,0,1,1,1093.15248278893,962.899956056833,6827,363,47.2349103683048
"tile_x=4_y=1_c=1.jpg.png",54,1,0,0,0,1790,908.5,2,2,0.5
"tile_x=4_y=1_c=1.jpg.png",55,0.817672939250123,1,0,1,783.905448604106,1000.83029054486,14077,414,68.909553905678
"tile_x=4_y=1_c=1.jpg.png",56,0.478000911934129,1,0,0,2501.07739378346,1001.73763994159,14381,512,69.868840028712
"tile_x=4_y=1_c=1.jpg.png",57,0.508411463801487,2,3,2,1449.40471549243,1039.952752251,21546,511,82.604868804016
"tile_x=4_y=1_c=1.jpg.png",58,0.587952321409076,2,2,1,1608.11034702324,1044.54021012416,15705,560,71.4073449838298
"tile_x=4_y=1_c=1.jpg.png",59,0.400557003319334,2,2,0,106.588950685947,1040.27208008899,13485,372,65.2994616289769
"tile_x=4_y=1_c=1.jpg.png",60,0.261373603665384,0,0,0,2417.84711577249,1070.44856797096,7437,531,53.0125555964147
"tile_x=4_y=1_c=1.jpg.png",61,0.46676603289996,0,1,0,485.332259796028,1070.22254428341,9315,463,57.5655642803584
"tile_x=4_y=1_c=1.jpg.png",62,0.478841421687703,1,1,1,866.560384228058,1109.52947555969,12909,378,63.7098085222823
"tile_x=4_y=1_c=1.jpg.png",63,0.716080371505954,2,6,2,2213.46720523178,1144.37120119254,41592,872,115.969710239129
"tile_x=4_y=1_c=1.jpg.png",64,0.544276524870828,1,1,0,327.520482776848,1111.12430622853,11351,428,62.2607549808872
"tile_x=4_y=1_c=1.jpg.png",65,0.76962852297193,0,0,0,1902.55546492659,1071.26508972268,1226,161,20.1109317092675
"tile_x=4_y=1_c=1.jpg.png",66,0,0,0,0,2423,1050,1,1,0
"tile_x=4_y=1_c=1.jpg.png",67,0,0,0,0,1875,1056,1,1,0
"tile_x=4_y=1_c=1.jpg.png",68,0.776877926066221,1,0,0,419.233193277311,1120.36734693878,6664,332,47.2940414630964
"tile_x=4_y=1_c=1.jpg.png",69,0,0,0,0,2080,1064,1,1,0
"tile_x=4_y=1_c=1.jpg.png",70,0.944213062772584,0,0,1,2018.90025869503,1107.71169876401,3479,301,39.4102639718026
"tile_x=4_y=1_c=1.jpg.png",71,0.970536282075516,0,0,0,2541.26894824708,1172.24424040067,5990,458,59.2438391894282
"tile_x=4_y=1_c=1.jpg.png",72,0,0,0,0,147,1093,1,1,0
"tile_x=4_y=1_c=1.jpg.png",73,0.817571114185109,0,1,0,141.871333497658,1143.5336455509,4057,312,36.9525989272491
"tile_x=4_y=1_c=1.jpg.png",74,0.761397529773533,1,3,3,2450.31382417649,1220.72246164974,33181,771,106.821265496647
"tile_x=4_y=1_c=1.jpg.png",75,0,0,0,0,2544,1097,1,1,0
"tile_x=4_y=1_c=1.jpg.png",76,0,0,0,0,2543,1098,1,1,0
"tile_x=4_y=1_c=1.jpg.png",77,0,0,0,0,2542,1099,1,1,0
"tile_x=4_y=1_c=1.jpg.png",78,0.964829303500411,0,0,0,1965.625,1103.425,40,27,3.9465463866592
"tile_x=4_y=1_c=1.jpg.png",79,0.886853640847137,0,1,0,29.9523083955508,1183.95626999848,6563,365,48.8947868641703
"tile_x=4_y=1_c=1.jpg.png",80,0.532404649655225,0,1,1,100.503277494538,1190.33102694829,2746,260,30.2068417879911
"tile_x=4_y=1_c=1.jpg.png",81,0.338245486115788,1,1,1,566.6028,1220.07253333333,7500,371,47.4276116886715
"tile_x=4_y=1_c=1.jpg.png",82,1,0,0,0,188,1173.5,2,2,0.5
"tile_x=4_y=1_c=1.jpg.png",83,0.792201311062392,1,1,0,154.683034309097,1220.60214038401,3177,229,32.7474245908429
"tile_x=4_y=1_c=1.jpg.png",84,0.716717366780943,0,1,0,415.071271447426,1266.20633523977,13638,423,66.3213270061176
"tile_x=4_y=1_c=1.jpg.png",85,0,0,0,0,177,1183,1,1,0
"tile_x=4_y=1_c=1.jpg.png",86,0,0,0,0,419,1183,1,1,0
"tile_x=4_y=1_c=1.jpg.png",87,0.508800579400606,0,1,0,491.228139381986,1237.0959894806,4563,346,39.1706002970018
"tile_x=4_y=1_c=1.jpg.png",88,0.692447623104053,0,2,1,652.37370136484,1251.33978407008,9818,409,56.1888338170195
"tile_x=4_y=1_c=1.jpg.png",89,0.726618623731086,1,0,1,291.868625095555,1288.62323905209,9157,415,54.0345177891551
"tile_x=4_y=1_c=1.jpg.png",90,0.795222418685583,0,0,0,72.6883495145631,1269.06990291262,1030,131,18.7392015929119
"tile_x=4_y=1_c=1.jpg.png",91,0.712938991911344,4,3,2,658.129070914987,1342.50479345834,14186,438,67.3123458999227
"tile_x=4_y=1_c=1.jpg.png",92,0.74962599814795,0,4,2,1130.25112071403,1375.9108678971,24761,574,89.6613072821581
"tile_x=4_y=1_c=1.jpg.png",93,0,0,0,0,483,1296,1,1,0
"tile_x=4_y=1_c=1.jpg.png",94,0,0,0,0,582,1300,1,1,0
"tile_x=4_y=1_c=1.jpg.png",95,0.377538020320513,3,0,4,2482.1711813781,1432.18594431284,29127,685,98.7533393075539
"tile_x=4_y=1_c=1.jpg.png",96,0.599637282913708,2,1,2,870.39489040357,1432.08375422939,20393,602,81.8448488166203
"tile_x=4_y=1_c=1.jpg.png",97,0.506364172012937,6,1,0,725.958931977114,1464.06467471922,23595,582,86.9420954064953
"tile_x=4_y=1_c=1.jpg.png",98,0.873637815245232,0,1,0,1256.66807195053,1469.24873524452,3558,284,36.9108733077391
"tile_x=4_y=1_c=1.jpg.png",99,0.875679524962572,1,4,1,1643.42264798399,1560.3760366028,24479,563,93.31396400747
"tile_x=4_y=1_c=1.jpg.png",100,0.545736682577641,1,1,1,435.670658059142,1506.61172428155,9604,427,55.9260844613327
"tile_x=4_y=1_c=1.jpg.png",101,0.660498186745945,3,3,3,553.596163735473,1538.9707394837,19446,522,79.5762568939227
"tile_x=4_y=1_c=1.jpg.png",102,0,0,0,0,374,1471,1,1,0
"tile_x=4_y=1_c=1.jpg.png",103,0.800241055498793,0,0,0,345.684715558602,1503.92186429061,1459,231,24.5101773656025
"tile_x=4_y=1_c=1.jpg.png",104,0.482002101321836,0,0,1,1407.74477517416,1528.66852438252,7895,309,49.7725055114249
"tile_x=4_y=1_c=1.jpg.png",105,0.757558308543502,1,3,2,187.183023276714,1570.29356520176,22254,542,87.1213356806844
"tile_x=4_y=1_c=1.jpg.png",106,0,0,0,0,380,1501,1,1,0
"tile_x=4_y=1_c=1.jpg.png",107,0.898671817632944,2,1,0,2522.03808432047,1584.58947904726,7851,379,56.9144655691559
"tile_x=4_y=1_c=1.jpg.png",108,0.694464073081461,1,2,0,364.85494834149,1581.62887438825,7356,337,48.5412374910844
"tile_x=4_y=1_c=1.jpg.png",109,0,0,0,0,319,1534,1,1,0
"tile_x=4_y=1_c=1.jpg.png",110,0.743968237779891,0,3,1,1349.50799047943,1627.30071404284,14705,514,70.9210018475255
"tile_x=4_y=1_c=1.jpg.png",111,0.624543159413136,3,4,0,760.04834452975,1619.15115163148,16672,515,73.5180142913568
"tile_x=4_y=1_c=1.jpg.png",112,0.646763837544889,0,0,0,1531.40350877193,1608.43914473684,1824,193,25.0548274210531
"tile_x=4_y=1_c=1.jpg.png",113,0.617129170442253,0,0,1,452.020018123404,1660.46956091935,12139,461,64.152972519156
"tile_x=4_y=1_c=1.jpg.png",114,0.711365903838894,0,1,1,854.620468772747,1674.52787887611,13738,464,67.4379281614494
"tile_x=4_y=1_c=1.jpg.png",115,0.397387625162431,1,3,1,668.332034149963,1675.93327765405,10776,450,57.7576952520986
"tile_x=4_y=1_c=1.jpg.png",116,0.548315391443442,2,3,1,1798.79335104473,1705.91010267825,13927,522,68.5438575080106
"tile_x=4_y=1_c=1.jpg.png",117,0.656802159757428,0,1,1,1503.1824367698,1677.55270252921,7789,310,50.0684841817439
"tile_x=4_y=1_c=1.jpg.png",118,0,0,0,0,1539,1644,1,1,0
"tile_x=4_y=1_c=1.jpg.png",119,0.734290749254111,2,1,1,2060.86624281697,1738.77845702409,24537,590,88.7351835039418
"tile_x=4_y=1_c=1.jpg.png",120,0.718841630033353,0,2,0,530.867680082916,1732.4321989981,5789,384,44.6381342057036
"tile_x=4_y=1_c=1.jpg.png",121,0.450737912280822,5,5,3,1379.76891497713,1806.19352515395,27769,633,94.7840522310595
"tile_x=4_y=1_c=1.jpg.png",122,0.510510349194988,0,2,1,1951.86261411712,1799.86706746827,13473,500,67.5481378465773
"tile_x=4_y=1_c=1.jpg.png",123,0.517161210791088,2,3,2,866.666903341854,1790.10446842753,21126,612,84.0403078461594
"tile_x=4_y=1_c=1.jpg.png",124,0.589814935795142,0,1,0,1572.49864967052,1775.99449065572,9257,332,54.2476203671729
"tile_x=4_y=1_c=1.jpg.png",125,0,0,0,0,1917,1716,1,1,0
"tile_x=4_y=1_c=1.jpg.png",126,0.666123471783567,1,2,2,1861.59453864353,1794.01882886435,10144,453,58.7377763628905
"tile_x=4_y=1_c=1.jpg.png",127,0.722391212153472,2,0,1,250.81476121563,1830.50779868146,12438,365,63.5161008004268
