"filename","nucleus ID","eccentricity","num of G probes","num of R probes","num of Y probes","X center of mass","Y center of mass","area of nucleus","perimeter of nucleus","radius of nucleus"
"tile_x=1_y=7_c=1.jpg.png",1,1,0,0,0,1721.5,1,2,2,0.5
"tile_x=1_y=7_c=1.jpg.png",2,0.659845948097325,0,0,0,376.553444180523,38.5516277770015,7157,333,48.456828407945
"tile_x=1_y=7_c=1.jpg.png",3,0.971414362910073,0,0,0,476.366616989568,10.2950819672131,1342,186,25.073720402842
"tile_x=1_y=7_c=1.jpg.png",4,0.629795882716662,0,0,0,547.429552141223,29.2700228832952,3059,204,30.9666487322117
"tile_x=1_y=7_c=1.jpg.png",5,0.860851357107989,0,0,0,1020.24818298418,24.6415134672937,4678,273,40.286125414487
"tile_x=1_y=7_c=1.jpg.png",6,0.804453887468646,1,0,0,1127,26.3213885778275,4465,311,39.2598744283371
"tile_x=1_y=7_c=1.jpg.png",7,0.76003238818937,0,2,0,1261.05983412322,36.1141390205371,5064,265,41.8837330298354
"tile_x=1_y=7_c=1.jpg.png",8,0.701033085925798,0,1,0,1351.95113527812,70.928870600338,13609,441,65.8725353248492
"tile_x=1_y=7_c=1.jpg.png",9,0.958727167623137,0,0,0,1529.45413212089,17.0451992511367,3739,297,40.2106063973529
"tile_x=1_y=7_c=1.jpg.png",10,0.934274749914635,0,0,0,1642.85770621098,16.9122576404864,3043,274,38.4513129118636
"tile_x=1_y=7_c=1.jpg.png",11,0.906624119200679,0,0,0,2072.20738236123,19.1225697379544,3549,333,37.5046792188229
"tile_x=1_y=7_c=1.jpg.png",12,0.701756627816086,2,4,2,891.641884019002,87.8258044277135,22314,558,83.9983099771684
"tile_x=1_y=7_c=1.jpg.png",13,0.587390318842749,1,1,1,1204.33897681266,74.2123665807876,8151,313,51.2961822083519
"tile_x=1_y=7_c=1.jpg.png",14,0.679011820275433,0,1,0,1505.88490164806,62.1610845295056,3762,284,35.3677133503178
"tile_x=1_y=7_c=1.jpg.png",15,0.795467524042143,1,0,0,1792.91307400646,77.1665496419042,7121,342,47.4003835315584
"tile_x=1_y=7_c=1.jpg.png",16,0.808281932137535,2,3,1,2069.24797870738,113.6309948275,19913,495,80.3645672686195
"tile_x=1_y=7_c=1.jpg.png",17,0.713738071239784,2,1,0,201.62060327732,162.383536861149,28743,666,96.0403513328307
"tile_x=1_y=7_c=1.jpg.png",18,0.735712515991013,1,3,0,1749.10041771094,130.58462823726,5985,334,45.0941638281447
"tile_x=1_y=7_c=1.jpg.png",19,0.496053310047677,1,0,0,1448.19441786284,113.658373205742,6270,323,45.8135330453569
"tile_x=1_y=7_c=1.jpg.png",20,0.287849162776797,2,1,2,1081.96317606444,137.191091856766,14773,420,68.2118716583008
"tile_x=1_y=7_c=1.jpg.png",21,0.730829418883623,4,4,1,2274.33855307344,172.646189224704,27396,597,94.5014558910775
"tile_x=1_y=7_c=1.jpg.png",22,0.907485810577156,0,0,0,2408.21344537815,100.927731092437,4165,258,39.5296711963328
"tile_x=1_y=7_c=1.jpg.png",23,0.867810853609252,0,0,0,1524.76564580559,109.105193075899,751,152,18.037573722791
"tile_x=1_y=7_c=1.jpg.png",24,0.712983048714331,0,2,0,383.649317130874,174.255081191526,9299,561,60.0009680304476
"tile_x=1_y=7_c=1.jpg.png",25,0.860000485939257,3,5,2,521.023539823009,256.766873156342,33900,792,111.358006292
"tile_x=1_y=7_c=1.jpg.png",26,0,0,0,0,1503,126,1,1,0
