"filename","nucleus ID","eccentricity","num of G probes","num of R probes","num of Y probes","X center of mass","Y center of mass","area of nucleus","perimeter of nucleus","radius of nucleus"
"tile_x=4_y=2_c=1.jpg.png",1,0.768247318277506,0,0,1,770.342871278964,53.9905170281191,12127,416,64.6795513098408
"tile_x=4_y=2_c=1.jpg.png",2,0.656922983169021,1,0,0,1204.92633928571,27.3271683673469,3136,225,32.145747892499
"tile_x=4_y=2_c=1.jpg.png",3,0.781227889418845,0,0,0,1277.89797794118,23.1694240196078,3264,223,33.5031419537134
"tile_x=4_y=2_c=1.jpg.png",4,0.895141550709716,0,0,1,2252.4621668936,24.6241976269208,5141,329,43.3322793574178
"tile_x=4_y=2_c=1.jpg.png",5,0.689629696048034,0,1,1,2309.44382100626,107.535543705078,21565,543,83.8550713616401
"tile_x=4_y=2_c=1.jpg.png",6,0.776961786654839,0,1,0,879.290443379269,92.1863391252247,6676,392,49.239036105725
"tile_x=4_y=2_c=1.jpg.png",7,0.449195724299023,0,0,0,1169.23155950594,138.35057139559,8663,323,52.7575500847704
"tile_x=4_y=2_c=1.jpg.png",8,0.677627756774759,0,0,0,242.30999275887,224.742795076032,13810,410,67.1505904783784
"tile_x=4_y=2_c=1.jpg.png",9,0.735662191495545,0,5,3,1580.06918164383,312.692884117286,50577,798,126.903041586015
"tile_x=4_y=2_c=1.jpg.png",10,0.537136486567258,0,1,0,64.4426048565121,336.629690949227,5436,277,41.1694512256007
"tile_x=4_y=2_c=1.jpg.png",11,0.722780776029398,0,1,1,363.633395731936,359.809359790341,13355,394,65.356898279385
"tile_x=4_y=2_c=1.jpg.png",12,0.685995084300619,0,0,1,83.5311681508643,410.209926663174,7636,307,49.0637850246361
"tile_x=4_y=2_c=1.jpg.png",13,0.829899843701688,0,0,0,17.5360983102919,409.650537634409,1302,189,23.0134813579456
"tile_x=4_y=2_c=1.jpg.png",14,0.743900985360615,0,0,0,1817.92026578073,489.127195064072,2107,218,25.7024304915663
"tile_x=4_y=2_c=1.jpg.png",15,0.592883541685258,0,1,1,1768.36765550239,569.84985645933,10450,415,58.6072231774969
"tile_x=4_y=2_c=1.jpg.png",16,0.773813327504431,0,1,0,2376.81162859686,609.93978048057,13484,443,66.2729886719176
"tile_x=4_y=2_c=1.jpg.png",17,0.667796679441579,0,1,1,1191.6760185847,602.144388849178,5596,315,41.3909327521182
"tile_x=4_y=2_c=1.jpg.png",18,0.919077844402566,0,0,0,2109.12411847673,646.265162200282,2836,225,32.9322424089063
"tile_x=4_y=2_c=1.jpg.png",19,0.77020299794574,0,1,1,1127.22720379147,694.123507109005,10550,368,59.514493334911
"tile_x=4_y=2_c=1.jpg.png",20,0.801235084433537,0,0,0,2179.56530696333,664.149979398434,2427,202,28.5020033008995
"tile_x=4_y=2_c=1.jpg.png",21,0.87312593823558,3,3,2,1732.93990065067,740.248373329602,14293,430,68.7453290713054
