"filename","nucleus ID","eccentricity","num of G probes","num of R probes","num of Y probes","X center of mass","Y center of mass","area of nucleus","perimeter of nucleus","radius of nucleus"
"tile_x=4_y=4_c=1.jpg.png",1,0.882378678429903,2,4,1,454.722070498571,133.489711019371,31490,647,103.832766127257
"tile_x=4_y=4_c=1.jpg.png",2,0.785554097048296,5,7,4,678.335380592965,136.525751072961,40542,790,116.578796172328
"tile_x=4_y=4_c=1.jpg.png",3,0.924789354349159,0,0,0,1464.74940898345,11.6910953506698,1269,157,22.8256504812325
"tile_x=4_y=4_c=1.jpg.png",4,0.867480451081602,1,1,0,1588.46711384386,35.5375442519098,10734,413,61.6323213583625
"tile_x=4_y=4_c=1.jpg.png",5,0.741279247370737,7,2,2,1800.13662474188,68.6031912896565,26635,592,93.0013496816668
"tile_x=4_y=4_c=1.jpg.png",6,0.66933701180556,4,2,1,2320.86132566204,77.5075267969735,25376,740,89.6216420824469
"tile_x=4_y=4_c=1.jpg.png",7,0.843529865989117,0,0,0,1939.4766141332,47.1855617691917,3934,361,41.2301540002064
"tile_x=4_y=4_c=1.jpg.png",8,0.914222440864096,1,1,1,551.972913616398,99.3767691556857,12294,515,67.9076771565357
"tile_x=4_y=4_c=1.jpg.png",9,0.908319951713654,8,6,3,2186.70021191601,211.783480294247,82108,1137,170.157805988345
"tile_x=4_y=4_c=1.jpg.png",10,0,0,0,0,2183,68,1,1,0
"tile_x=4_y=4_c=1.jpg.png",11,0.605941977491711,2,2,2,993.976252662032,156.893840157512,24887,632,90.3269362332634
"tile_x=4_y=4_c=1.jpg.png",12,0.470831410070367,0,1,0,1131.66593798539,174.413910142093,17383,474,74.6927758042434
"tile_x=4_y=4_c=1.jpg.png",13,0.875317683758074,2,0,0,2017.61845037245,233.594766664544,15707,662,78.9477816875786
"tile_x=4_y=4_c=1.jpg.png",14,0.561006412980453,2,3,0,95.5237757274663,274.964606412195,32407,682,101.768961622929
"tile_x=4_y=4_c=1.jpg.png",15,0.895637059966854,0,1,1,1306.29137122286,240.657794262027,9167,465,60.5080854923439
"tile_x=4_y=4_c=1.jpg.png",16,0.664692855757023,0,0,0,1905.49113025849,185.022807906741,1973,285,27.3999925531531
"tile_x=4_y=4_c=1.jpg.png",17,0.806621711956946,0,3,0,1875.95265239646,254.375174499767,8596,430,53.749470849109
"tile_x=4_y=4_c=1.jpg.png",18,0,0,0,0,394,181,1,1,0
"tile_x=4_y=4_c=1.jpg.png",19,0.735893121345018,0,3,2,377.352338582216,273.683779195692,17083,525,73.4952522352362
"tile_x=4_y=4_c=1.jpg.png",20,0.709177489597925,2,7,5,896.027031613654,299.495999806051,41248,756,116.29928210552
"tile_x=4_y=4_c=1.jpg.png",21,1,0,0,0,2312,211.5,2,2,0.5
"tile_x=4_y=4_c=1.jpg.png",22,0,0,0,0,1904,217,1,1,0
"tile_x=4_y=4_c=1.jpg.png",23,0.798478545659618,0,0,0,206.966049382716,245.302469135802,972,152,19.3600592451252
"tile_x=4_y=4_c=1.jpg.png",24,0,0,0,0,446,231,1,1,0
"tile_x=4_y=4_c=1.jpg.png",25,0.674548552122514,2,4,0,1454.73293385922,321.482782160194,26368,582,92.3630114629616
"tile_x=4_y=4_c=1.jpg.png",26,1,0,0,0,236,240,3,4,0.5
"tile_x=4_y=4_c=1.jpg.png",27,0.738564123749186,0,0,0,258.508474576271,273.7565913371,2124,183,26.111806931195
"tile_x=4_y=4_c=1.jpg.png",28,0,0,0,0,2034,243,1,1,0
"tile_x=4_y=4_c=1.jpg.png",29,0,0,0,0,2033,244,1,1,0
"tile_x=4_y=4_c=1.jpg.png",30,0.703654821123074,0,0,0,300.582575394926,303.985639061752,2089,263,29.2596317328052
"tile_x=4_y=4_c=1.jpg.png",31,0.477162320029457,1,3,2,1973.96859645375,326.660898668376,14043,452,68.8113297244918
"tile_x=4_y=4_c=1.jpg.png",32,0,0,0,0,234,259,1,1,0
"tile_x=4_y=4_c=1.jpg.png",33,0.892775036020812,0,0,0,1053.5,290.625,8,7,1.2567602605542
"tile_x=4_y=4_c=1.jpg.png",34,0,0,0,0,1051,293,1,1,0
"tile_x=4_y=4_c=1.jpg.png",35,0.641849470915196,3,4,2,1022.32637853949,435.800909473041,26169,536,91.8015277019228
"tile_x=4_y=4_c=1.jpg.png",36,0.723256976638418,0,2,3,2053.52425402904,391.150789851604,12534,436,63.1005026158373
"tile_x=4_y=4_c=1.jpg.png",37,0.627008477612122,7,2,4,1810.43542826836,435.620127287192,37710,627,109.684225621007
"tile_x=4_y=4_c=1.jpg.png",38,0,0,0,0,2143,325,1,1,0
"tile_x=4_y=4_c=1.jpg.png",39,1,0,0,0,1361.5,344,2,2,0.5
"tile_x=4_y=4_c=1.jpg.png",40,0,0,0,0,1363,345,1,1,0
"tile_x=4_y=4_c=1.jpg.png",41,0.564547195850253,1,0,0,1348.31839014609,405.825551417932,6982,431,47.9058934264253
"tile_x=4_y=4_c=1.jpg.png",42,0.920698936032493,2,1,0,2123.66493573932,424.280150590679,7703,352,51.8182118606352
"tile_x=4_y=4_c=1.jpg.png",43,0.593794690320063,2,7,1,90.5454931417374,447.005160026127,30620,728,100.298255773606
"tile_x=4_y=4_c=1.jpg.png",44,0.593353545495003,4,1,1,737.837167483103,481.108575680536,32254,602,101.373262065464
"tile_x=4_y=4_c=1.jpg.png",45,0,0,0,0,987,379,1,1,0
"tile_x=4_y=4_c=1.jpg.png",46,0,0,0,0,988,380,1,1,0
"tile_x=4_y=4_c=1.jpg.png",47,0.859362675836297,2,5,3,2252.3079346328,486.343571569207,30474,682,105.717233219503
"tile_x=4_y=4_c=1.jpg.png",48,0.751243161589478,0,8,0,421.687222438644,501.753213868329,25670,642,91.5797784659174
"tile_x=4_y=4_c=1.jpg.png",49,0.749465843689312,7,9,5,1436.90502588848,550.615061400418,73778,965,154.302920826423
"tile_x=4_y=4_c=1.jpg.png",50,0.837838069151851,0,0,1,518.658193548387,586.033677419355,15500,540,71.6780197961076
"tile_x=4_y=4_c=1.jpg.png",51,0.748848743580917,0,4,0,617.729982964225,570.316256996836,16436,569,72.4713580548403
"tile_x=4_y=4_c=1.jpg.png",52,0.649868820520499,2,5,3,146.29028599206,580.725593453779,24686,649,89.1337494649148
"tile_x=4_y=4_c=1.jpg.png",53,0.75887942483573,2,3,1,329.350996815728,614.859442060086,28892,708,98.8430839526251
"tile_x=4_y=4_c=1.jpg.png",54,0.961537232546649,4,3,0,1314.92090862815,671.026342580809,15716,543,84.3049530118065
"tile_x=4_y=4_c=1.jpg.png",55,0.860126090970817,3,3,7,1212.62679340029,720.954308146023,50184,877,132.595423515567
"tile_x=4_y=4_c=1.jpg.png",56,0.625221514785097,1,2,1,859.886980150141,668.147515313407,21713,546,83.2840944215772
"tile_x=4_y=4_c=1.jpg.png",57,0.80500694541783,1,2,2,101.558675704339,713.711716696639,21687,560,85.7291869577128
"tile_x=4_y=4_c=1.jpg.png",58,0.979059756887015,0,0,0,19.0773618016964,711.543433752559,6838,477,59.5485597217287
"tile_x=4_y=4_c=1.jpg.png",59,0.606842906688983,1,1,0,1771.69890848845,695.744420621772,20522,509,80.846068229988
"tile_x=4_y=4_c=1.jpg.png",60,0.80048157141386,5,5,7,2249.89961621492,731.081644279204,33352,711,105.714297906703
"tile_x=4_y=4_c=1.jpg.png",61,0.640739696230274,4,2,0,1034.15140579892,721.469938496297,31868,763,104.693417183923
"tile_x=4_y=4_c=1.jpg.png",62,0,0,0,0,1310,628,1,1,0
"tile_x=4_y=4_c=1.jpg.png",63,0.614600365402832,1,7,1,1982.94101498157,733.87916699349,25498,592,89.8320123621016
"tile_x=4_y=4_c=1.jpg.png",64,0.598847604484361,0,1,0,2504.36450406294,689.703082677673,7753,294,49.5867681455572
"tile_x=4_y=4_c=1.jpg.png",65,0,0,0,0,444,646,1,1,0
"tile_x=4_y=4_c=1.jpg.png",66,0.691191246069908,1,5,1,283.200901027735,728.991060115444,14206,556,68.875729822417
"tile_x=4_y=4_c=1.jpg.png",67,0,0,0,0,658,652,1,1,0
"tile_x=4_y=4_c=1.jpg.png",68,0,0,0,0,659,653,1,1,0
"tile_x=4_y=4_c=1.jpg.png",69,0,0,0,0,660,654,1,1,0
"tile_x=4_y=4_c=1.jpg.png",70,0.774637678183792,2,5,3,2119.74268272962,785.122412677878,24736,587,90.0560200830715
"tile_x=4_y=4_c=1.jpg.png",71,0.654635765208739,5,5,4,504.449223946785,790.026137994,38335,698,110.975521010281
"tile_x=4_y=4_c=1.jpg.png",72,0.933211124402295,0,0,0,2545.94526102382,734.408008109478,1973,217,29.6590710541019
"tile_x=4_y=4_c=1.jpg.png",73,0,0,0,0,411,700,1,1,0
"tile_x=4_y=4_c=1.jpg.png",74,0.607548044209891,4,4,2,2404.76083565082,844.429525876687,29486,650,96.7375556701904
"tile_x=4_y=4_c=1.jpg.png",75,0.740058812270983,0,1,0,714.900020177563,819.210451977401,9912,409,58.1993183585242
"tile_x=4_y=4_c=1.jpg.png",76,0.886266288203446,0,0,0,2534.81369170687,820.310130944176,4353,287,39.1892715195992
"tile_x=4_y=4_c=1.jpg.png",77,0,0,0,0,636,834,1,1,0
"tile_x=4_y=4_c=1.jpg.png",78,0.896465252040798,0,0,0,1683.32948583421,871.866736621196,953,147,19.4259773511752
"tile_x=4_y=4_c=1.jpg.png",79,0.587370050433853,2,2,0,1805.79491222974,935.958293563514,24097,646,89.2980464970358
"tile_x=4_y=4_c=1.jpg.png",80,0.592983755479662,3,1,2,2511.47622237106,941.015554067128,13437,509,67.2228971661355
"tile_x=4_y=4_c=1.jpg.png",81,0.451514897867292,0,0,0,1526.55308539373,900.60108040723,4813,251,38.3190053401845
"tile_x=4_y=4_c=1.jpg.png",82,0.52113112887635,0,0,0,1597.72576134245,915.151957737725,6436,274,44.6843218395718
"tile_x=4_y=4_c=1.jpg.png",83,0.876658823023892,0,0,0,2001.40025906736,925.427784974093,3088,269,33.9685273790362
"tile_x=4_y=4_c=1.jpg.png",84,0.705954088069555,0,0,1,804.036298568507,990.685509786737,13692,494,66.2695572976562
"tile_x=4_y=4_c=1.jpg.png",85,0.537337429738601,1,0,1,937.670079015998,1037.80767583979,25691,605,90.3042390320575
"tile_x=4_y=4_c=1.jpg.png",86,0.6427721348733,0,0,0,1019.55705996132,962.623791102514,1034,149,17.82945265307
"tile_x=4_y=4_c=1.jpg.png",87,0.837354209958613,1,0,1,2056.35451395699,1023.79054716611,15297,465,73.3149231029586
"tile_x=4_y=4_c=1.jpg.png",88,0.881238383896341,0,0,2,463.772855278522,1013.69400370905,14559,456,71.6102841546867
"tile_x=4_y=4_c=1.jpg.png",89,0,0,0,0,1014,970,1,1,0
"tile_x=4_y=4_c=1.jpg.png",90,0.727172086768818,0,0,0,2315.02529153415,1027.12963804331,6603,283,45.7079997217615
"tile_x=4_y=4_c=1.jpg.png",91,0.550697255040977,1,0,1,2164.35746567009,1104.91899878324,11506,387,60.5106367578789
"tile_x=4_y=4_c=1.jpg.png",92,0.719824455961058,0,0,0,2491.98809959722,1083.41614793116,5462,247,41.7753257062809
"tile_x=4_y=4_c=1.jpg.png",93,0.801998838268993,0,0,0,2292.84006191152,1098.11788984909,7753,335,50.537102478704
